Model,Accuracy,Precision,Recall,F1,Eğitim Süresi (s)
BERT,0.711,0.764576802507837,0.711,0.6955892034233048,N/A (hazır model)
LightGBM,0.6877773295683743,0.6530557752010423,0.6877773295683743,0.6562319778466751,34.45
LinearSVC,0.6447761194029851,0.6443399071883299,0.6447761194029851,0.6444198011853283,13.39
LogisticRegression,0.627995159338443,0.6447204740111935,0.627995159338443,0.6355377617382968,40.04
MultinomialNB,0.6925373134328359,0.6556069471016543,0.6925373134328359,0.6338720494509309,0.02
